Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Wola, Muranów, Dzielna",830 000 zł,16 600 zł/m²,50 m²,3 pokoje
"Warszawa, Targówek, Orłowska",550 000 zł,9343 zł/m²,58.87 m²,3 pokoje
"Warszawa, Ursus, Posag 7 Panien",450 000 zł,11 273 zł/m²,39.92 m²,2 pokoje
"Warszawa, Ursus, Herbu Oksza",620 000 zł,9308 zł/m²,66.61 m²,4 pokoje
"Warszawa, Praga-Południe, Stanisława Augusta",1 499 000 zł,18 953 zł/m²,79.09 m²,3 pokoje
"Warszawa, Włochy, Cyprysowa",559 000 zł,11 325 zł/m²,49.36 m²,2 pokoje
"Warszawa, Targówek, Bródno, Michała Kleofasa Ogińskiego",399 000 zł,9779 zł/m²,40.8 m²,2 pokoje
"Warszawa, Ursynów, Wiolinowa",449 000 zł,14 531 zł/m²,30.9 m²,1 pokój
"Warszawa, Białołęka, Gioacchino Rossiniego",539 000 zł,10 000 zł/m²,53.9 m²,3 pokoje
"Warszawa, Ursus, Posag 7 Panien",570 000 zł,9687 zł/m²,58.84 m²,3 pokoje
"Warszawa, Białołęka, Tarchomin, Życzliwa",333 000 zł,10 390 zł/m²,32.05 m²,1 pokój
"Warszawa, Bielany, Wrzeciono",670 000 zł,11 754 zł/m²,57 m²,3 pokoje
"Warszawa, Bielany, Zgrupowania AK Żubr",778 000 zł,12 488 zł/m²,62.3 m²,3 pokoje
"Warszawa, Bielany, Wolumen",729 000 zł,12 948 zł/m²,56.3 m²,3 pokoje
"Warszawa, Targówek",835 000 zł,11 895 zł/m²,70.2 m²,4 pokoje
"Warszawa, Ursynów, Imielin, Roalda Amundsena",665 000 zł,9160 zł/m²,72.6 m²,3 pokoje
"Warszawa, Ochota",559 000 zł,15 528 zł/m²,36 m²,2 pokoje
"Warszawa, Wola, Obozowa",325 000 zł,16 456 zł/m²,19.75 m²,1 pokój
"Warszawa, Targówek, Targówek Mieszkaniowy, ul. Remiszewska",750 000 zł,8367 zł/m²,89.64 m²,4 pokoje
"Warszawa, Białołęka, Tarchomin, ul. Ceramiczna 37B",799 000 zł,11 632 zł/m²,68.69 m²,3 pokoje
"Warszawa, Bielany, ul. Sokratesa",1 150 000 zł,14 489 zł/m²,79.37 m²,3 pokoje
"Warszawa, Ochota",540 000 zł,11 441 zł/m²,47.2 m²,3 pokoje
"Warszawa, Śródmieście, Powiśle, ul. Leona Kruczkowskiego",1 639 000 zł,29 800 zł/m²,55 m²,2 pokoje
"Warszawa, Ochota, ul. Stefana Baleya",530 000 zł,13 874 zł/m²,38.2 m²,2 pokoje
"Warszawa, Wilanów",685 000 zł,14 986 zł/m²,45.71 m²,2 pokoje
"Warszawa, Bielany, ul. Antoniego Czechowa",409 900 zł,15 765 zł/m²,26 m²,1 pokój
"Warszawa, Ursynów, ul. Nowoursynowska",1 198 000 zł,9359 zł/m²,128 m²,2 pokoje
"Warszawa, Wawer, Marysin Wawerski, ul. Korkowa",570 000 zł,12 000 zł/m²,47.5 m²,2 pokoje
"Warszawa, mazowieckie",895 000 zł,15 169 zł/m²,59 m²,2 pokoje
"Warszawa, Śródmieście, Powiśle, Okrąg",599 000 zł,15 742 zł/m²,38.05 m²,2 pokoje
"Warszawa, Wola, Ulrychów",550 000 zł,14 865 zł/m²,37 m²,2 pokoje
"Warszawa, Białołęka, Tarchomin, ul. Strumykowa 29",725 000 zł,8239 zł/m²,88 m²,3 pokoje
"Warszawa, Żoliborz, ul. Tylżycka",755 000 zł,11 269 zł/m²,67 m²,3 pokoje
"Warszawa, Mokotów, ul. Jana Sebastiana Bacha",789 000 zł,12 195 zł/m²,64.7 m²,3 pokoje
"Warszawa, Białołęka, Grzymalitów",999 000 zł,8871 zł/m²,112.62 m²,4 pokoje
"Warszawa, Bielany, Marii Dąbrowskiej",645 000 zł,11 356 zł/m²,56.8 m²,3 pokoje
"Warszawa, Wola, ul. Banderii 4",1 497 000 zł,14 970 zł/m²,100 m²,5 pokoi
"Warszawa, Białołęka, ul. Żeglugi Wiślanej",415 000 zł,11 823 zł/m²,35.1 m²,2 pokoje
"Warszawa, Śródmieście, Śródmieście Północne, Inflancka 11",780 000 zł,16 957 zł/m²,46 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław, ul. Stanisława Mikołajczyka",529 000 zł,12 716 zł/m²,41.6 m²,2 pokoje
"Warszawa, Bemowo, Jelonki, ul. Kazimierza Wyki",680 000 zł,11 039 zł/m²,61.6 m²,3 pokoje
"Warszawa, Ochota, ul. Stefana Baleya",610 000 zł,15 969 zł/m²,38.2 m²,2 pokoje
"Warszawa, Mokotów, Dolny Mokotów",950 000 zł,18 966 zł/m²,50.09 m²,2 pokoje
"Warszawa, Białołęka",1 050 000 zł,9031 zł/m²,116.27 m²,4 pokoje
"Warszawa, Wilanów, ul. Adama Branickiego",902 000 zł,15 908 zł/m²,56.7 m²,2 pokoje
"Warszawa, Wilanów",1 099 500 zł,15 866 zł/m²,69.3 m²,2 pokoje
"Warszawa, Białołęka, ul. Brzeziny",546 000 zł,9980 zł/m²,54.71 m²,3 pokoje
"Warszawa, Praga-Południe, ul. Przeworska",770 000 zł,14 528 zł/m²,53 m²,3 pokoje
"Warszawa, Włochy, Nowe Włochy",584 000 zł,14 244 zł/m²,41 m²,2 pokoje
"Warszawa, Ochota, ul. Sąchocka",549 550 zł,14 500 zł/m²,37.9 m²,2 pokoje
"Warszawa, Wola, Mirów, Ogrodowa",730 000 zł,15 208 zł/m²,48 m²,2 pokoje
"Warszawa, Wilanów",5 000 000 zł,21 325 zł/m²,234.47 m²,4 pokoje
"Warszawa, Mokotów",1 520 000 zł,12 388 zł/m²,122.7 m²,4 pokoje
"Warszawa, Ursynów",839 000 zł,15 076 zł/m²,55.65 m²,2 pokoje
"Warszawa, Bemowo, ul. gen. Tadeusza Pełczyńskiego",630 000 zł,12 319 zł/m²,51.14 m²,3 pokoje
"Warszawa, Ochota, ul. Wiślicka",619 000 zł,12 977 zł/m²,47.7 m²,3 pokoje
"Warszawa, Wola",555 000 zł,14 605 zł/m²,38 m²,1 pokój
"Warszawa, Ochota",350 000 zł,12 069 zł/m²,29 m²,1 pokój
"Warszawa, Mokotów, ul. Postępu 12",1 430 000 zł,21 063 zł/m²,67.89 m²,3 pokoje
"Warszawa, Ochota, Stara Ochota, ul. Kaliska",740 000 zł,18 858 zł/m²,39.24 m²,2 pokoje
"Warszawa, Wola",795 000 zł,15 333 zł/m²,51.85 m²,2 pokoje
