Location,Price,Price per m2,Size M2,Rooms
"Warszawa, Ursynów, Polki",760 000 zł,13 034 zł/m²,58.31 m²,3 pokoje
"Warszawa, Śródmieście, Złota",6 500 000 zł,49 057 zł/m²,132.5 m²,3 pokoje
"Warszawa, Mokotów, Konstancińska",725 000 zł,13 942 zł/m²,52 m²,2 pokoje
"Warszawa, Bemowo, Pirenejska",680 000 zł,9808 zł/m²,69.33 m²,3 pokoje
"Warszawa, Białołęka, Tarchomin, Wyrzykowskiego",799 000 zł,10 244 zł/m²,78 m²,3 pokoje
"Warszawa, Wola, Jana Kazimierza",1 185 000 zł,13 330 zł/m²,88.9 m²,3 pokoje
"Warszawa, Białołęka, Hanki Ordonówny",520 000 zł,8904 zł/m²,58.4 m²,2 pokoje
"Warszawa, Białołęka, Małej Brzozy",657 500 zł,10 441 zł/m²,62.97 m²,2 pokoje
"Warszawa, Żoliborz, Szamocka",890 000 zł,17 733 zł/m²,50.19 m²,2 pokoje
"Warszawa, Targówek, Wyspowa",430 000 zł,10 914 zł/m²,39.4 m²,2 pokoje
"Warszawa, Mokotów, al. Aleja gen. Władysława Sikorskiego",2 399 000 zł,17 601 zł/m²,136.3 m²,5 pokoi
"Warszawa, Włochy, Rakowska",595 000 zł,15 939 zł/m²,37.33 m²,2 pokoje
"Warszawa, Praga-Północ, Nowa Praga",775 000 zł,15 816 zł/m²,49 m²,2 pokoje
"Warszawa, Wilanów, Zawady, ul. Syta 94",1 348 000 zł,18 986 zł/m²,71 m²,3 pokoje
"Warszawa, Mokotów, ul. Postępu",716 000 zł,14 430 zł/m²,49.62 m²,2 pokoje
"Warszawa, Wilanów, Bruzdowa",365 000 zł,12 126 zł/m²,30.1 m²,2 pokoje
"Warszawa, Mokotów, Stegny, Pory",1 299 000 zł,12 955 zł/m²,100.27 m²,4 pokoje
"Warszawa, Białołęka, ul. Leona Berensona",520 000 zł,11 556 zł/m²,45 m²,2 pokoje
"Warszawa, Mokotów, ul. Łukowa",620 000 zł,12 917 zł/m²,48 m²,2 pokoje
"Warszawa, Targówek, Targówek Mieszkaniowy, ul. Wejherowska",989 000 zł,13 662 zł/m²,72.39 m²,3 pokoje
"Warszawa, Wola, ul. Jana Olbrachta 13",549 000 zł,14 260 zł/m²,38.5 m²,2 pokoje
"Warszawa, Ursynów, al. Aleja Jana Rodowicza",990 000 zł,14 143 zł/m²,70 m²,2 pokoje
"Warszawa, Białołęka",749 000 zł,9024 zł/m²,83 m²,3 pokoje
"Warszawa, Śródmieście",469 000 zł,15 633 zł/m²,30 m²,2 pokoje
"Warszawa, Praga-Południe, Przeworska",849 000 zł,16 980 zł/m²,50 m²,2 pokoje
"Warszawa, Żoliborz, ul. Juliusza Słowackiego",880 000 zł,17 600 zł/m²,50 m²,2 pokoje
"Warszawa, Praga-Południe",549 000 zł,14 245 zł/m²,38.54 m²,1 pokój
"Warszawa, Wilanów",899 000 zł,17 627 zł/m²,51 m²,2 pokoje
"Warszawa, Praga-Południe, osiedle Santorini",960 000 zł,13 941 zł/m²,68.86 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław, Gocław, ul. gen. Bronisława Bohaterewicza",715 000 zł,7259 zł/m²,98.5 m²,4 pokoje
"Warszawa, Ochota, Maszynowa 6",559 000 zł,14 145 zł/m²,39.52 m²,2 pokoje
"Warszawa, Mokotów, Jana Pawła Woronicza 76",715 000 zł,12 655 zł/m²,56.5 m²,2 pokoje
"Warszawa, Białołęka, Strumykowa 29C",599 000 zł,8437 zł/m²,71 m²,3 pokoje
"Warszawa, Śródmieście, Emilii Plater 36",665 000 zł,17 973 zł/m²,37 m²,2 pokoje
"Warszawa, Białołęka, Myśliborska 18A",739 000 zł,7038 zł/m²,105 m²,5 pokoi
"Warszawa, Bielany, Aleja Władysława Reymonta 23",499 000 zł,9156 zł/m²,54.5 m²,3 pokoje
"Warszawa, Śródmieście, Grzybowska 3",999 000 zł,20 556 zł/m²,48.6 m²,2 pokoje
"Warszawa, Praga-Południe, Floriana Znanieckiego 4C",598 999 zł,9820 zł/m²,61 m²,3 pokoje
"Warszawa, Bemowo, Kazubów 6A",999 000 zł,6636 zł/m²,150.54 m²,7 pokoi
"Warszawa, Żoliborz, ul. Zygmunta Krasińskiego",849 900 zł,14 911 zł/m²,57 m²,2 pokoje
"Warszawa, Ochota, Szczęśliwice, ul. Włodarzewska",920 000 zł,19 574 zł/m²,47 m²,2 pokoje
"Warszawa, Wola",382 000 zł,15 917 zł/m²,24 m²,1 pokój
"Warszawa, Ursus, ul. Magnacka",859 000 zł,11 199 zł/m²,76.7 m²,4 pokoje
"Warszawa, Bemowo, ul. Szeligowska",759 900 zł,11 258 zł/m²,67.5 m²,3 pokoje
"Warszawa, Ursynów, ul. Meander 15",599 000 zł,11 302 zł/m²,53 m²,3 pokoje
"Warszawa, Ursus, ul. Zagłoby",570 000 zł,11 850 zł/m²,48.1 m²,3 pokoje
"Warszawa, Ursynów, ul. Lasek Brzozowy",505 000 zł,11 099 zł/m²,45.5 m²,2 pokoje
"Warszawa, Wesoła, Warszawska",735 000 zł,10 621 zł/m²,69.2 m²,3 pokoje
"Warszawa, Wola, ul. Okopowa56",895 860 zł,16 590 zł/m²,54 m²,3 pokoje
"Warszawa, Bemowo",729 000 zł,12 926 zł/m²,56.4 m²,3 pokoje
"Warszawa, Mokotów, Czerniakowska",430 000 zł,11 497 zł/m²,37.4 m²,2 pokoje
"Warszawa, Targówek",500 000 zł,9452 zł/m²,52.9 m²,3 pokoje
"Warszawa, Śródmieście, Powiśle, Cecylii Śniegockiej",500 000 zł,18 182 zł/m²,27.5 m²,1 pokój
"Warszawa, Mokotów, okęcka",653 000 zł,15 888 zł/m²,41.1 m²,2 pokoje
"Warszawa, Wola, Wolska",799 000 zł,13 317 zł/m²,60 m²,5 pokoi
"Warszawa, Białołęka, Aluzyjna 23E",469 000 zł,9361 zł/m²,50.1 m²,2 pokoje
"Warszawa, Wola, Żytnia 15A",1 850 000 zł,13 704 zł/m²,135 m²,5 pokoi
"Warszawa, Praga-Południe, Grzegorza Przemyka 2",799 000 zł,10 244 zł/m²,78 m²,4 pokoje
"Warszawa, Ursynów, Puławska 270",699 000 zł,9986 zł/m²,70 m²,3 pokoje
"Warszawa, Mokotów, Czerniakowska 26",599 000 zł,12 004 zł/m²,49.9 m²,3 pokoje
"Warszawa, Mokotów, Pory 60",839 000 zł,12 586 zł/m²,66.66 m²,3 pokoje
"Warszawa, Mokotów, Warneńska 3",420 000 zł,9882 zł/m²,42.5 m²,2 pokoje
"Warszawa, Białołęka, Mariana Wyrzykowskiego 1",829 000 zł,10 628 zł/m²,78 m²,4 pokoje
"Warszawa, Bemowo, Powstańców Śląskich 61/63",399 000 zł,10 127 zł/m²,39.4 m²,2 pokoje
"Warszawa, Mokotów, Czerniakowska 22",499 000 zł,11 089 zł/m²,45 m²,2 pokoje
"Warszawa, Białołęka, Pasłęcka 14F",639 000 zł,7699 zł/m²,83 m²,3 pokoje
"Warszawa, Śródmieście, Elektoralna",1 750 000 zł,18 421 zł/m²,95 m²,3 pokoje
"Warszawa, Wola, ul. Kajetana Garbińskiego 3",565 000 zł,15 237 zł/m²,37.08 m²,2 pokoje
"Warszawa, Bemowo, ul. Franciszka Kawy",1 525 000 zł,15 250 zł/m²,100 m²,5 pokoi
"Warszawa, Wola, Sokołowska 11",699 000 zł,14 673 zł/m²,47.64 m²,2 pokoje
"Warszawa, Bemowo",640 000 zł,12 800 zł/m²,50 m²,2 pokoje
"Warszawa, Wola, ul. Okopowa 56",895 860 zł,16 590 zł/m²,54 m²,2 pokoje
"Warszawa, Wola, Koło, ul. Księcia Janusza",461 000 zł,10 976 zł/m²,42 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław, ul. Jerzego Bukowskiego 2A",756 000 zł,11 032 zł/m²,68.53 m²,3 pokoje
"Warszawa, Mokotów, Fort Piłsudskiego",2 850 000 zł,31 667 zł/m²,90 m²,2 pokoje
"Warszawa, Mokotów, Fort Piłsudskiego",3 000 000 zł,30 000 zł/m²,100 m²,4 pokoje
"Warszawa, Bemowo, Kopalniana",1 200 000 zł,20 000 zł/m²,60 m²,2 pokoje
"Warszawa, Śródmieście, Zygmunta Słomińskiego",2 200 000 zł,16 224 zł/m²,135.6 m²,4 pokoje
"Warszawa, Śródmieście, Powiśle",2 472 000 zł,24 000 zł/m²,103 m²,3 pokoje
"Warszawa, Mokotów, Konstruktorska",567 800 zł,16 496 zł/m²,34.42 m²,2 pokoje
"Warszawa, Włochy, Stare Włochy, Krańcowa 10",1 400 000 zł,15 385 zł/m²,91 m²,4 pokoje
"Warszawa, Mokotów, ul. Obrzeżna",877 800 zł,15 400 zł/m²,57 m²,2 pokoje
"Warszawa, Śródmieście, Koźmińska",450 000 zł,23 316 zł/m²,19.3 m²,1 pokój
"Warszawa, Śródmieście, Powiśle",2 000 000 zł,21 739 zł/m²,92 m²,4 pokoje
"Warszawa, Ursus, Skorosze, Ryżowa",785 000 zł,10 195 zł/m²,77 m²,3 pokoje
"Warszawa, Wawer",285 000 zł,6477 zł/m²,44 m²,2 pokoje
"Warszawa, Rembertów, Stary Rembertów",529 000 zł,10 952 zł/m²,48.3 m²,2 pokoje
"Warszawa, Praga-Południe, Grochów",605 000 zł,11 000 zł/m²,55 m²,3 pokoje
"Warszawa, Śródmieście, ul. Elektoralna",585 000 zł,18 281 zł/m²,32 m²,2 pokoje
"Warszawa, Wola, Jana Olbrachta",1 500 000 zł,16 536 zł/m²,90.71 m²,4 pokoje
"Warszawa, Śródmieście, Sienna",2 250 000 zł,24 090 zł/m²,93.4 m²,3 pokoje
"Warszawa, Wilanów, aleja rzeczypospolitej 33",780 000 zł,15 294 zł/m²,51 m²,2 pokoje
"Warszawa, Bemowo",750 000 zł,8860 zł/m²,84.65 m²,4 pokoje
"Warszawa, Praga-Południe, ul. Łukowska",555 000 zł,8952 zł/m²,62 m²,3 pokoje
"Warszawa, Praga-Południe, ul. Międzynarodowa",649 000 zł,13 809 zł/m²,47 m²,3 pokoje
"Warszawa, Białołęka, Brzeziny",499 000 zł,11 128 zł/m²,44.84 m²,2 pokoje
"Warszawa, Żoliborz, Władysława Broniewskiego",359 000 zł,14 958 zł/m²,24 m²,1 pokój
"Warszawa, Ursynów, Imielin, Dereniowa",1 250 000 zł,16 713 zł/m²,74.79 m²,3 pokoje
"Warszawa, Praga-Północ, Radzymińska",550 000 zł,8661 zł/m²,63.5 m²,3 pokoje
"Warszawa, Bemowo, ul. Mieczysława Wolfkego",599 000 zł,11 745 zł/m²,51 m²,2 pokoje
"Warszawa, Ochota, Rakowiec, Mołdawska",547 000 zł,15 069 zł/m²,36.3 m²,2 pokoje
"Warszawa, Śródmieście, Śródmieście Południowe, Marszałkowska 87",1 610 000 zł,23 676 zł/m²,68 m²,3 pokoje
"Warszawa, Białołęka",748 000 zł,10 081 zł/m²,74.2 m²,3 pokoje
"Warszawa, Wola",499 900 zł,17 238 zł/m²,29 m²,1 pokój
"Warszawa, Targówek, Bródno",699 000 zł,10 433 zł/m²,67 m²,3 pokoje
"Warszawa, Targówek, Bródno",660 000 zł,12 022 zł/m²,54.9 m²,3 pokoje
"Warszawa, Białołęka",771 000 zł,8692 zł/m²,88.7 m²,3 pokoje
"Warszawa, Białołęka",771 000 zł,8692 zł/m²,88.7 m²,4 pokoje
"Warszawa, Bemowo, Górce, ul. gen. Tadeusza Pełczyńskiego",720 000 zł,12 632 zł/m²,57 m²,3 pokoje
"Warszawa, Białołęka, Brzeziny",900 000 zł,12 000 zł/m²,75 m²,3 pokoje
"Warszawa, Ursynów, Natolin, Aleja Komisji Edukacji Narodowej",699 000 zł,11 847 zł/m²,59 m²,2 pokoje
"Warszawa, Bielany, Stare Bielany",954 000 zł,18 706 zł/m²,51 m²,3 pokoje
"Warszawa, Ochota, Stara Ochota",969 000 zł,16 678 zł/m²,58.1 m²,2 pokoje
"Warszawa, Śródmieście, Śródmieście Północne, Okopowa",527 000 zł,15 970 zł/m²,33 m²,2 pokoje
"Warszawa, Ursus",424 900 zł,13 196 zł/m²,32.2 m²,2 pokoje
"Warszawa, Targówek, Targówek Mieszkaniowy, Płosa",1 105 000 zł,14 539 zł/m²,76 m²,3 pokoje
"Warszawa, Mokotów, ul. Białej Floty",3 310 000 zł,25 076 zł/m²,132 m²,4 pokoje
"Warszawa, Mokotów, Górny Mokotów, ul. Ludwika Narbutta",990 000 zł,17 679 zł/m²,56 m²,2 pokoje
"Warszawa, Śródmieście, Emilii Plater",1 900 000 zł,19 792 zł/m²,96 m²,5 pokoi
"Warszawa, Bemowo, Eugeniusza Szwankowskiego",730 000 zł,11 909 zł/m²,61.3 m²,3 pokoje
"Warszawa, Bielany, ul. Rudzka",1 070 000 zł,14 738 zł/m²,72.6 m²,3 pokoje
"Warszawa, Wola, Odolany",767 000 zł,18 262 zł/m²,42 m²,2 pokoje
"Warszawa, Praga-Południe, Cyrklowa 4",579 000 zł,11 309 zł/m²,51.2 m²,3 pokoje
"Warszawa, Mokotów, Dolny Mokotów",1 499 000 zł,19 218 zł/m²,78 m²,3 pokoje
"Warszawa, Śródmieście, Niska",495 000 zł,15 734 zł/m²,31.46 m²,1 pokój
"Warszawa, Śródmieście, ul. gen. Władysława Andersa 8",415 000 zł,19 762 zł/m²,21 m²,1 pokój
"Warszawa, Mokotów, ul. Ludwiga van Beethovena",629 999 zł,17 944 zł/m²,35.11 m²,2 pokoje
"Warszawa, Mokotów, ul. Taśmowa",699 999 zł,17 352 zł/m²,40.34 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław, gen. Bronisława Bohaterewicza",670 000 zł,12 642 zł/m²,53 m²,2 pokoje
"Warszawa, Mokotów",686 000 zł,14 482 zł/m²,47.37 m²,3 pokoje
"Warszawa, Praga-Południe, Gocław ul. Grzegorza Przemyka",548 000 zł,9547 zł/m²,57.4 m²,3 pokoje
"Warszawa, Wawer, Wiązana",649 000 zł,10 262 zł/m²,63.24 m²,3 pokoje
"Warszawa, Ursus, Dzieci warszawy",793 770 zł,9680 zł/m²,82 m²,4 pokoje
"Warszawa, Ursus, ul. Dzieci Warszawy",670 300 zł,10 080 zł/m²,66.5 m²,4 pokoje
"Warszawa, Ursus, Dzieci Warszawy",683 335 zł,10 049 zł/m²,68 m²,4 pokoje
"Warszawa, Wola, Banderii",1 597 120 zł,14 720 zł/m²,108.5 m²,5 pokoi
"Warszawa, Ochota, Stara Ochota, ul. Juliana Ursyna Niemcewicza",752 000 zł,23 500 zł/m²,32 m²,2 pokoje
"Warszawa, Wola, Kolejowa",885 000 zł,23 289 zł/m²,38 m²,2 pokoje
"Warszawa, Praga-Południe, Kamionek",540 000 zł,11 250 zł/m²,48 m²,3 pokoje
"Warszawa, Żoliborz, ul. Ludwika Rydygiera",1 380 000 zł,18 546 zł/m²,74.41 m²,3 pokoje
"Warszawa, Bemowo, Górce, ul. Arki Bożka",999 975 zł,13 333 zł/m²,75 m²,3 pokoje
"Warszawa, Praga-Południe, Saska Kępa, Paryska",789 000 zł,16 102 zł/m²,49 m²,2 pokoje
"Warszawa, Ochota, ul. Racławicka",319 000 zł,17 432 zł/m²,18.3 m²,1 pokój
"Warszawa, Mokotów, Henryków, ul. Dziatwy",920 000 zł,12 764 zł/m²,72.08 m²,3 pokoje
"Warszawa, Wola, Żelazna",599 000 zł,16 189 zł/m²,37 m²,2 pokoje
"Warszawa, Mokotów, Sadyba, Konstancińska",1 248 000 zł,7656 zł/m²,163 m²,5 pokoi
"Warszawa, Włochy, Raków, ul. Bakalarska (apartamenty Bakalarska)",1 120 000 zł,14 313 zł/m²,78.25 m²,3 pokoje
"Warszawa, Ursus, ul. Tadeusza Hennela",839 000 zł,13 532 zł/m²,62 m²,4 pokoje
"Warszawa, Białołęka, Mirabelki",669 000 zł,12 865 zł/m²,52 m²,3 pokoje
"Warszawa, Białołęka, ul. Aluzyjna",505 000 zł,10 348 zł/m²,48.8 m²,2 pokoje
"Warszawa, Praga-Północ, Nowa Praga, pl. Plac gen. Józefa Hallera",449 000 zł,13 815 zł/m²,32.5 m²,1 pokój
"Warszawa, Wilanów, Klimczaka 13",1 100 000 zł,18 966 zł/m²,58 m²,3 pokoje
"Warszawa, Wilanów, Aleja Wilanowska",2 190 000 zł,11 967 zł/m²,183 m²,5 pokoi
"Warszawa, Praga-Południe, Grochów",515 000 zł,13 945 zł/m²,36.93 m²,2 pokoje
"Warszawa, Mokotów, ul. Jarosława Dąbrowskiego",530 000 zł,14 324 zł/m²,37 m²,1 pokój
"Warszawa, Bemowo, ul. Budy",981 500 zł,13 997 zł/m²,70.12 m²,3 pokoje
"Warszawa, Targówek, Osiedle Wilno",839 000 zł,13 893 zł/m²,60.39 m²,3 pokoje
"Warszawa, Ochota, Stara Ochota",518 000 zł,12 950 zł/m²,40 m²,2 pokoje
"Warszawa, Praga-Południe",615 000 zł,11 284 zł/m²,54.5 m²,4 pokoje
"Warszawa, Ursynów, Kabaty",1 010 000 zł,13 893 zł/m²,72.7 m²,3 pokoje
"Warszawa, Praga-Północ, Praga, Beskidzka",1 400 000 zł,14 000 zł/m²,100 m²,3 pokoje
"Warszawa, Bielany, Władysława Broniewskiego",644 000 zł,11 500 zł/m²,56 m²,4 pokoje
"Warszawa, Wola",545 000 zł,14 495 zł/m²,37.6 m²,2 pokoje
"Warszawa, Śródmieście, 29 Listopada",2 475 000 zł,29 884 zł/m²,82.82 m²,2 pokoje
"Warszawa, Wilanów, ul. Adama Branickiego",1 590 000 zł,15 687 zł/m²,101.36 m²,4 pokoje
"Warszawa, Ursynów, ul. Kłobucka",657 000 zł,14 102 zł/m²,46.59 m²,2 pokoje
"Warszawa, Wola, ul. Redutowa",540 000 zł,14 551 zł/m²,37.11 m²,2 pokoje
"Warszawa, Praga-Południe, ul. Igańska 34",540 000 zł,8438 zł/m²,64 m²,3 pokoje
"Warszawa, Wesoła, ul. Wschodnia",461 000 zł,10 976 zł/m²,42 m²,2 pokoje
"Warszawa, Bemowo, ul. gen. Meriana C. Coopera",1 044 000 zł,14 500 zł/m²,72 m²,3 pokoje
"Warszawa, Bemowo, ul. Karabeli",619 000 zł,9479 zł/m²,65.3 m²,3 pokoje
"Warszawa, Bielany, Wrzeciono, ul. Dorycka",443 000 zł,11 973 zł/m²,37 m²,2 pokoje
"Warszawa, Wesoła, ul. Wschodnia",477 000 zł,10 600 zł/m²,45 m²,2 pokoje
"Warszawa, Praga-Południe, Saska Kępa, ul. Francuska",1 165 000 zł,21 981 zł/m²,53 m²,2 pokoje
"Warszawa, Wola",2 279 900 zł,23 946 zł/m²,95.21 m²,3 pokoje
"Warszawa, Mokotów, Górny Mokotów, ul. Etiudy Rewolucyjnej 44",565 000 zł,14 413 zł/m²,39.2 m²,2 pokoje
"Warszawa, Wawer, Anin, Ul. Romana Pazińskiego 1E",999 000 zł,8841 zł/m²,113 m²,4 pokoje
"Warszawa, Bemowo",610 000 zł,8971 zł/m²,68 m²,3 pokoje
"Warszawa, Targówek, Targówek Mieszkaniowy, ul. Aleksandra Gajkowicza",635 000 zł,11 239 zł/m²,56.5 m²,3 pokoje
"Warszawa, Żoliborz, Sady Żoliborskie, ul. Przasnyska",950 000 zł,13 194 zł/m²,72 m²,3 pokoje
"Warszawa, Targówek, ul. św. Wincentego 89",456 000 zł,12 000 zł/m²,38 m²,2 pokoje
"Warszawa, Wola, ul. Skierniewicka",840 000 zł,20 000 zł/m²,42 m²,2 pokoje
"Warszawa, Ursus",450 000 zł,10 227 zł/m²,44 m²,2 pokoje
"Warszawa, Ochota",700 000 zł,14 583 zł/m²,48 m²,3 pokoje
"Warszawa, Praga-Południe, ul. Siennicka",685 000 zł,12 523 zł/m²,54.7 m²,3 pokoje
"Warszawa, Żoliborz, ul. Poli Gojawiczyńskiej",750 000 zł,15 924 zł/m²,47.1 m²,3 pokoje
"Warszawa, Ursynów, Natolin, ul. Lasek Brzozowy",773 000 zł,12 992 zł/m²,59.5 m²,3 pokoje
"Warszawa, Białołęka, ul. Gioacchino Rossiniego",400 000 zł,9953 zł/m²,40.19 m²,2 pokoje
"Warszawa, Wola, ul. Towarowa 35",690 000 zł,18 259 zł/m²,37.79 m²,2 pokoje
"Warszawa, Wola, ul. Ożarowska",529 000 zł,13 225 zł/m²,40 m²,2 pokoje
"Warszawa, Praga-Południe, ul. gen. Stanisława Skalskiego",676 400 zł,15 303 zł/m²,44.2 m²,2 pokoje
"Warszawa, Targówek, Bródno, ul. Rembielińska 5",670 000 zł,12 407 zł/m²,54 m²,3 pokoje
"Warszawa, Targówek, ul. Orłowska",549 000 zł,9793 zł/m²,56.06 m²,3 pokoje
"Warszawa, Śródmieście, Stare Miasto",1 480 000 zł,21 855 zł/m²,67.72 m²,2 pokoje
"Warszawa, Mokotów, Sadyba",599 000 zł,12 854 zł/m²,46.6 m²,3 pokoje
"Warszawa, Mokotów",785 000 zł,14 025 zł/m²,55.97 m²,2 pokoje
"Warszawa, Wola, Muranów",799 000 zł,13 729 zł/m²,58.2 m²,3 pokoje
"Warszawa, Bielany",485 000 zł,11 772 zł/m²,41.2 m²,2 pokoje
"Warszawa, Ochota",600 000 zł,15 000 zł/m²,40 m²,2 pokoje
"Warszawa, Ochota, ul. Władysława Korotyńskiego",1 584 000 zł,10 000 zł/m²,158.4 m²,5 pokoi
"Warszawa, Mokotów, Nałęczowska 33",1 270 000 zł,18 143 zł/m²,70 m²,3 pokoje
"Warszawa, Mokotów",700 000 zł,14 583 zł/m²,48 m²,2 pokoje
"Warszawa, Mokotów, Czerniaków, ul. Czerniakowska",578 000 zł,11 992 zł/m²,48.2 m²,3 pokoje
"Warszawa, Targówek, ul. Ludwika Kondratowicza",1 349 000 zł,14 663 zł/m²,92 m²,4 pokoje
"Warszawa, Targówek, Elsnerów, ul. Pohulanka",725 000 zł,12 877 zł/m²,56.3 m²,3 pokoje
"Warszawa, Białołęka, ul. Internetowa",660 000 zł,11 679 zł/m²,56.51 m²,3 pokoje
"Warszawa, Włochy, Stare Włochy, ul. Szczęsna",775 000 zł,12 482 zł/m²,62.09 m²,3 pokoje
"Warszawa, Białołęka",434 000 zł,9731 zł/m²,44.6 m²,2 pokoje
"Warszawa, Śródmieście",735 000 zł,24 500 zł/m²,30 m²,2 pokoje
"Warszawa, Włochy, Stare Włochy, ul. 1 Sierpnia",620 000 zł,11 481 zł/m²,54 m²,3 pokoje
"Warszawa, Praga-Północ, ul. Targowa",519 000 zł,19 962 zł/m²,26 m²,1 pokój
"Warszawa, Bielany, Wrzeciono",499 000 zł,10 182 zł/m²,49.01 m²,3 pokoje
"Warszawa, Bielany, Wawrzyszew",870 000 zł,15 772 zł/m²,55.16 m²,3 pokoje
"Warszawa, Praga-Południe, ul. Lubartowska",2 250 000 zł,22 500 zł/m²,100 m²,4 pokoje
"Warszawa, Włochy, ul. Budki Szczęśliwickie 27",475 000 zł,14 320 zł/m²,33.17 m²,2 pokoje
"Warszawa, Praga-Południe, Gocław, Przemyka",568 000 zł,12 348 zł/m²,46 m²,2 pokoje
"Warszawa, Śródmieście",700 000 zł,15 826 zł/m²,44.23 m²,2 pokoje
"Warszawa, Białołęka",997 000 zł,12 178 zł/m²,81.87 m²,3 pokoje
"Warszawa, Mokotów, Służew, ul. Stefana Pieńkowskiego",419 000 zł,13 516 zł/m²,31 m²,1 pokój
"Warszawa, Praga-Południe, Garwolińska 26a",519 000 zł,11 795 zł/m²,44 m²,2 pokoje
"Warszawa, Ursynów, Kabaty, ul. Melchiora Wańkowicza",634 000 zł,12 680 zł/m²,50 m²,2 pokoje
"Warszawa, Ursynów, ul. Eugeniusza Romera",1 080 000 zł,16 615 zł/m²,65 m²,3 pokoje
"Warszawa, Żoliborz, Stary Żoliborz",1 895 000 zł,18 434 zł/m²,102.8 m²,4 pokoje
"Warszawa, Białołęka, Białołęka Dworska, ul. Jana Husa",380 000 zł,9500 zł/m²,40 m²,2 pokoje
"Warszawa, Mokotów, al. Aleja Wyścigowa",869 000 zł,14 983 zł/m²,58 m²,2 pokoje
"Warszawa, Śródmieście",1 190 000 zł,22 037 zł/m²,54 m²,2 pokoje
"Warszawa, Ursus, ul. Herbu Oksza",759 000 zł,12 443 zł/m²,61 m²,3 pokoje
"Warszawa, Mokotów, Sadyba, Nałęczowska",1 250 000 zł,16 892 zł/m²,74 m²,3 pokoje
"Warszawa, Śródmieście, Plac Grzybowski",1 280 000 zł,20 493 zł/m²,62.46 m²,4 pokoje
"Warszawa, Wola, Grzybowska",877 000 zł,19 699 zł/m²,44.52 m²,2 pokoje
"Warszawa, Mokotów, Jana III Sobieskiego",2 109 000 zł,20 244 zł/m²,104.18 m²,4 pokoje
"Warszawa, Bemowo, ul. Widawska",680 000 zł,10 742 zł/m²,63.3 m²,3 pokoje
"Warszawa, Wola, al. Aleja Jana Pawła II",479 000 zł,17 741 zł/m²,27 m²,1 pokój
"Warszawa, Mokotów, Sadyba, ul. Warneńska",590 000 zł,11 111 zł/m²,53.1 m²,3 pokoje
"Warszawa, Śródmieście, Śródmieście Północne, pl. Dąbrowskiego 12",399 000 zł,15 346 zł/m²,26 m²,1 pokój
"Warszawa, Żoliborz",1 890 000 zł,22 235 zł/m²,85 m²,3 pokoje
"Warszawa, Bielany, Marii Dąbrowskiej",530 000 zł,8908 zł/m²,59.5 m²,3 pokoje
"Warszawa, Wola, ul. Okopowa 56",538 552 zł,16 520 zł/m²,32.6 m²,2 pokoje
"Warszawa, Śródmieście, Śródmieście Północne",475 000 zł,12 242 zł/m²,38.8 m²,2 pokoje
"Warszawa, Śródmieście, Powiśle, Topiel",8 850 000 zł,40 346 zł/m²,219.35 m²,6 pokoi
"Warszawa, Śródmieście, Powiśle, Topiel",1 884 000 €,"8589,01 €/m²",219.35 m²,6 pokoi
"Warszawa, Ursynów, ul. Stefana Kopcińskiego",592 110 zł,12 900 zł/m²,45.9 m²,2 pokoje
"Warszawa, Mokotów",505 000 zł,11 477 zł/m²,44 m²,2 pokoje
"Warszawa, Ursus, ul. gen. Kazimierza Sosnkowskiego",359 000 zł,9447 zł/m²,38 m²,2 pokoje
"Warszawa, Mokotów, ul. Wincentego Rzymowskiego",399 000 zł,10 778 zł/m²,37.02 m²,2 pokoje
"Warszawa, Żoliborz, ul. Szamocka",869 000 zł,20 051 zł/m²,43.34 m²,2 pokoje
"Warszawa, Ursus, Quo Vadis 7",489 000 zł,12 225 zł/m²,40 m²,2 pokoje
"Warszawa, Wilanów",1 400 000 zł,17 284 zł/m²,81 m²,3 pokoje
"Warszawa, Targówek",849 900 zł,12 499 zł/m²,68 m²,3 pokoje
"Warszawa, Ursynów, ul. Wawrzyńca Surowieckiego 12B",899 000 zł,12 149 zł/m²,74 m²,4 pokoje
"Warszawa, Wilanów, al. Rzeczypospolitej",940 000 zł,15 334 zł/m²,61.3 m²,2 pokoje
"Warszawa, Mokotów, Górny Mokotów, ul. Zygmunta Modzelewskiego",570 000 zł,13 256 zł/m²,43 m²,2 pokoje
"Warszawa, Ochota, Stara Ochota, ul. Częstochowska",830 000 zł,15 867 zł/m²,52.31 m²,2 pokoje
"Warszawa, Praga-Południe",495 000 zł,13 061 zł/m²,37.9 m²,2 pokoje
"Warszawa, Śródmieście",429 000 zł,15 889 zł/m²,27 m²,2 pokoje
"Warszawa, Białołęka",315 000 zł,11 053 zł/m²,28.5 m²,1 pokój
"Warszawa, Praga-Południe, Grochów",800 000 zł,13 029 zł/m²,61.4 m²,3 pokoje
"Warszawa, Ochota, Szczęśliwice",1 039 500 zł,16 500 zł/m²,63 m²,3 pokoje
"Warszawa, Białołęka",595 000 zł,13 222 zł/m²,45 m²,2 pokoje
"Warszawa, Wilanów, Zawady",2 193 000 zł,17 200 zł/m²,127.5 m²,4 pokoje
